rank,gene,rna_lfc,rna_p,tissue,prot_lfc,prot_p,neglog10p,transcriptomic,proteomic,genomic,score,concordant
74,SLC7A14,-0.57272487128405,5.41469264374477e-09,TCX,0.0533561272712559,0.0424825292161424,8.522878745280337,0.57272487128405,0.0533561272712559,8.522878745280337,0.7591928251121076,False
75,DLGAP2,-0.470293239698416,1.17678654818571e-08,TCX,-0.0487483764950457,0.125790325626922,9.69897000433602,0.470293239698416,0.0487483764950457,9.69897000433602,0.7590433482810164,True
76,PTK2B,-0.451880385828609,3.19910696361791e-08,PHG,-0.0283002522187876,0.256860722085415,24.0,0.451880385828609,0.0283002522187876,24.0,0.7563527653213752,True
77,VWA8,-0.222747129673156,0.0002058136530169,TCX,0.0747823008848023,0.284223181080879,14.221848749616356,0.222747129673156,0.0747823008848023,14.221848749616356,0.7563527653213751,False
78,PLOD1,0.365703987714806,1.29699990879773e-06,TCX,0.0707761474999921,0.254130040297506,9.045757490560677,0.365703987714806,0.0707761474999921,9.045757490560677,0.7559043348281016,True
79,CLSTN1,-0.286815786615204,6.92434073715158e-07,PHG,0.0583334239287596,0.0430068965718279,12.522878745280336,0.286815786615204,0.0583334239287596,12.522878745280336,0.7545590433482809,False
80,ANO5,-0.335278600099518,1.58704322182505e-12,PHG,0.093806643789833,0.128709259450426,8.698970004336019,0.335278600099518,0.093806643789833,8.698970004336019,0.7527653213751868,False
81,PIP4K2A,0.528805283145416,1.79715044568255e-09,PHG,-0.0939713923872492,0.154316401268089,7.522878745280337,0.528805283145416,0.0939713923872492,7.522878745280337,0.7485799701046337,False
82,ARHGEF10L,0.39040229679928,3.4747455280889397e-12,TCX,0.0346901236069003,0.345399734417997,16.154901959985743,0.39040229679928,0.0346901236069003,16.154901959985743,0.7481315396113601,True
83,PICALM,0.171769837934953,2.0483256472082e-05,PHG,-0.0733882346941393,0.0383124662146146,50.15490195998574,0.171769837934953,0.0733882346941393,50.15490195998574,0.747982062780269,False
84,PLCXD3,-0.595002816756759,7.30556142022708e-08,TCX,0.0597317654287013,0.135984415406291,8.0,0.595002816756759,0.0597317654287013,8.0,0.7476831091180867,False
85,MACF1,0.257376922396595,0.0001839896971488,TCX,-0.0496867525286429,0.354271885378553,17.096910013008056,0.257376922396595,0.0496867525286429,17.096910013008056,0.747085201793722,False
86,BRAF,-0.24072549866586,4.96274291189344e-08,TCX,-0.0603726864223954,0.157887433324931,14.69897000433602,0.24072549866586,0.0603726864223954,14.69897000433602,0.747085201793722,True
87,CDH20,0.382111357574845,7.0294459807387e-10,PHG,0.0529050956466328,0.0209859965096917,10.0,0.382111357574845,0.0529050956466328,10.0,0.7467862481315396,True
88,NRXN1,-0.452513420188263,3.02749697971244e-17,PHG,0.0779244482814654,4.95425535529954e-05,8.0,0.452513420188263,0.0779244482814654,8.0,0.7461883408071748,False
89,TSPOAP1,-0.375970675417102,2.13842810353076e-07,PHG,0.0412721939181718,0.466046138446606,12.522878745280336,0.375970675417102,0.0412721939181718,12.522878745280336,0.7440956651718983,False
90,CDK2AP1,0.586317267108835,1.12399235794207e-13,TCX,-0.0238368253478544,0.751482798391653,15.221848749616356,0.586317267108835,0.0238368253478544,15.221848749616356,0.7437967115097159,False
91,EPB41L1,0.229528326170591,0.0015796795092614,FP,0.0592737311618946,0.410359020312934,16.096910013008056,0.229528326170591,0.0592737311618946,16.096910013008056,0.7426008968609865,True
92,ASL,-0.259324535374238,1.20403322108235e-05,TCX,0.061286241368893,0.0567396996502302,12.154901959985745,0.259324535374238,0.061286241368893,12.154901959985745,0.7421524663677129,False
93,APP,-0.162447105518259,0.0002271222672641,PHG,0.657275693134546,2.98163431357195e-16,13.69897000433602,0.162447105518259,0.657275693134546,13.69897000433602,0.7418535127055306,False
94,PARD3,0.715067052802566,2.5554255045613e-11,TCX,0.114053634874005,0.0024527105891205,6.154901959985743,0.715067052802566,0.114053634874005,6.154901959985743,0.7412556053811659,True
95,BAD,0.286217885765295,3.34528267605378e-06,TCX,-0.0470379170008465,0.198467475515285,14.045757490560677,0.286217885765295,0.0470379170008465,14.045757490560677,0.7405082212257099,False
96,GRIP1,-0.631688436235841,5.28682988828786e-10,TCX,0.0355272266232029,0.154947776613926,9.522878745280336,0.631688436235841,0.0355272266232029,9.522878745280336,0.7394618834080717,False
97,VWC2,-0.841723764037185,9.567582405408192e-15,TCX,-0.0387967498236657,0.0815258463887175,8.522878745280337,0.841723764037185,0.0387967498236657,8.522878745280337,0.7379671150971598,True
98,SLC44A1,0.617092882392233,5.80126226066768e-13,PHG,-0.0598311978559028,0.398375219228168,7.698970004336019,0.617092882392233,0.0598311978559028,7.698970004336019,0.7366218236173392,False
99,RHOA,0.250245877284948,1.69982158538602e-10,PHG,-0.0453648653154256,0.061558919979509,21.30102999566398,0.250245877284948,0.0453648653154256,21.30102999566398,0.736322869955157,False
100,SLC7A2,1.37079223509006,1.16928021564158e-17,TCX,0.17732695265591,0.0084979393709101,5.698970004336019,1.37079223509006,0.17732695265591,5.698970004336019,0.7360239162929745,True
101,HACL1,-0.307212728749972,9.63340592256326e-07,TCX,-0.0736551971722698,0.169606800652363,9.096910013008056,0.307212728749972,0.0736551971722698,9.096910013008056,0.7355754857997009,True
102,BZW2,-0.437647331781216,2.40035973573588e-11,PHG,-0.0408337248042793,0.018258433783579,10.221848749616356,0.437647331781216,0.0408337248042793,10.221848749616356,0.7333333333333332,True
103,HMGCS1,-0.339344499239783,0.0017063920001026,TCX,-0.235100993056292,4.02311134055863e-06,7.698970004336019,0.339344499239783,0.235100993056292,7.698970004336019,0.7297458893871449,True
104,SLC2A6,-0.195614894530626,0.0078857867848236,TCX,0.0901247679370143,0.125740393327428,12.221848749616356,0.195614894530626,0.0901247679370143,12.221848749616356,0.7288490284005978,False
105,SEZ6L2,-0.462886828067386,6.26966153454852e-10,TCX,0.102297488167387,0.0773091245365148,7.301029995663981,0.462886828067386,0.102297488167387,7.301029995663981,0.7284005979073243,False
106,NSF,-0.592965035693643,1.32363397473426e-08,PHG,0.0769481346752361,0.216618486997909,7.0,0.592965035693643,0.0769481346752361,7.0,0.7284005979073243,False
107,SVOP,-0.726282595176853,2.00213795962269e-10,TCX,-0.0210411530622795,0.619475045884707,12.69897000433602,0.726282595176853,0.0210411530622795,12.69897000433602,0.728101644245142,True
108,PKP2,0.471409152812325,0.00188275940379,TCX,-0.0594463953775055,0.23303431789944,8.045757490560675,0.471409152812325,0.0594463953775055,8.045757490560675,0.7266068759342301,False
109,SYT4,-0.721356403641548,4.13138306522959e-08,PHG,0.0761894501192092,0.0098036622915734,6.3979400086720375,0.721356403641548,0.0761894501192092,6.3979400086720375,0.7266068759342301,False
110,CPNE4,-0.725979039171511,1.83024414640403e-13,PHG,-0.0757020683405795,0.0026907916027128,6.3979400086720375,0.725979039171511,0.0757020683405795,6.3979400086720375,0.7266068759342301,True
111,MAP3K20,0.56100026235059,4.63598263826179e-16,PHG,0.0529613312258484,0.21313515572516,8.0,0.56100026235059,0.0529613312258484,8.0,0.7255605381165919,True
112,BMPER,-0.638313453158386,9.595527275211641e-20,PHG,0.0699128768032246,0.0990776966381171,7.0,0.638313453158386,0.0699128768032246,7.0,0.7254110612855007,False
113,LRATD2,0.552768602234549,7.16929947225391e-07,TCX,0.0968064885603242,0.131977578772627,6.522878745280337,0.552768602234549,0.0968064885603242,6.522878745280337,0.7246636771300449,True
114,DAG1,0.251409454391091,5.16394446064801e-06,TCX,0.0417675835743207,0.0056915275795959,20.522878745280337,0.251409454391091,0.0417675835743207,20.522878745280337,0.7233183856502242,True
115,CLPTM1,-0.17517002256843,8.20347690698873e-05,PHG,-0.0575457371947178,0.0005433232788746,63.39794000867204,0.17517002256843,0.0575457371947178,63.39794000867204,0.7225710014947683,True
116,SLC6A15,-0.280402863565088,0.0003670308824803,PHG,0.0662411716828667,0.0141088419158488,9.397940008672036,0.280402863565088,0.0662411716828667,9.397940008672036,0.7188340807174887,False
117,COL12A1,-0.544120282770487,8.45499188886903e-17,PHG,-0.0743855845014202,0.470898856312462,7.154901959985743,0.544120282770487,0.0743855845014202,7.154901959985743,0.7188340807174887,True
118,BSN,-0.237904471798236,0.0127349576700307,PHG,-0.0433660442295323,0.0401196548490559,19.69897000433602,0.237904471798236,0.0433660442295323,19.69897000433602,0.7185351270553064,True
119,CELF5,-0.208052872986204,0.0051985843940079,PHG,0.0769171831211596,0.100890162942363,11.30102999566398,0.208052872986204,0.0769171831211596,11.30102999566398,0.717339312406577,False
120,CLYBL,0.192447011843403,0.0073042272979661,PHG,-0.0515468771736248,0.55376783591648,25.30102999566398,0.192447011843403,0.0515468771736248,25.30102999566398,0.7168908819133034,False
121,PAK1,-0.724989755887394,3.75491636881099e-13,PHG,-0.0774621311227654,0.0041700035542401,6.154901959985743,0.724989755887394,0.0774621311227654,6.154901959985743,0.7164424514200298,True
122,CSK,0.23008351148124,3.21595352502032e-05,STG,0.0523158265784727,0.0002595526204093,14.0,0.23008351148124,0.0523158265784727,14.0,0.7152466367713004,True
123,ADCYAP1R1,0.518212454783562,1.38809727534943e-13,PHG,0.0668156812847314,0.0485614098029237,7.397940008672037,0.518212454783562,0.0668156812847314,7.397940008672037,0.710762331838565,True
124,HSPG2,0.481742867912399,0.0001313688947627,PHG,-0.0598730026079012,0.182137368425744,7.698970004336019,0.481742867912399,0.0598730026079012,7.698970004336019,0.7094170403587443,False
125,SPON1,0.186741996306136,0.0147888235832447,PHG,0.105660719329701,0.0002373248256181,10.154901959985745,0.186741996306136,0.105660719329701,10.154901959985745,0.7094170403587443,True
