gene	log2fc	pval
ADPGK	0.0350849967931791	0.408387770505313
ADPRHL1	0.00619452295724504	0.933189075253571
ADPRS	0.0258428072966276	0.312004217821514
ADRA1A	-0.0084464268623578	0.927514898926935
ADRA1B	0.0563159901814413	0.404533682861027
ADRA2A	-0.0300042020780644	0.541017772982599
ADRM1	-0.0399872164216115	0.0980728056751078
ADSL	0.0417288832230828	0.188708505757075
ADSS1	-0.0565428022999115	0.260349474392942
ADSS2	-0.0285597728192716	0.131977578772627
AEBP1	-0.0695197037854531	0.184851896170317
AFAP1	-0.0649678611382207	0.0256019385233346
AFAP1L2	-0.038332721699115	0.0693637297140629
AFDN	-0.0265192211703073	0.467633359744602
AFF4	0.104436244462683	0.0539795329794962
AFG1L	-0.0273429886171928	0.284423546084836
AFG2A	0.0898416528895176	0.00334197152501626
AFG2B	0.118444244300892	0.00582389019486479
AFG3L2	-0.0211461830547679	0.216618486997909
AFM	-0.0978067471757734	0.146237013702658
AFTPH	-0.00945087343955653	0.632270181909086
AGAP1	0.0411808238779894	0.146480699293392
AGAP2	-0.0328100936691343	0.0815258463887175
AGAP3	0.0029635284896033	0.934295162584948
AGBL4	-0.0241855431290124	0.50487738474657
AGFG1	-7.62223594084066e-05	0.997538314540765
AGFG2	0.0653660901153725	0.00514793852571498
AGK	-0.026114364206589	0.25987085050179
AGL	-0.0380911615117298	0.257575557727924
AGO1	0.0334282866371812	0.148965305775481
AGO2	0.0200063584504165	0.470898856312462
AGO3	-0.0110524568807302	0.71032838285237
AGPAT1	-0.0601845995035991	0.000426631209855362
AGPAT3	-0.0291288577290908	0.0908610961131714
AGPAT4	-0.0349654090485243	0.163031037550782
AGPAT5	-0.0191683767373083	0.351557708026854
AGPS	-0.0216031663855852	0.186800832555372
AGRN	0.0404932082436942	0.0199409590685718
AGT	-0.0120404599872114	0.869046806956961
AGTPBP1	-0.0047533684039212	0.830885177590834
AGTRAP	-0.0990535285717256	0.19343327436994
AHCTF1	0.0482278370859801	0.153512194766674
AHCY	0.0046974481375571	0.842114301074729
AHCYL1	-0.0790762887718725	0.00124538762222708
AHCYL2	-0.046910419530172	0.12243674398061
AHDC1	0.0428917039178384	0.783726240385057
AHNAK	0.0821747699398953	0.0541639369088897
AHNAK2	-0.100810900455631	0.00238060759856421
AHSA1	-0.00313967842561197	0.933113084279461
AHSG	-0.121649261776592	0.144026600222582
AHSP	-0.175777928377917	0.0463353610252077
AIDA	0.0567426782323096	0.00271742285569469
AIF1	-0.0346894767509569	0.570492061332769
AIF1L	-0.0400980394105346	0.58426234286271
AIFM1	-0.0115060044667852	0.52236373884426
AIFM2	0.0129517791494079	0.787639701872138
AIFM3	-0.0499859491426586	0.468323534725627
AIG1	0.0777565098962447	0.594936528650472
AIMP1	-0.0239925826007058	0.177157455972167
AIMP2	-0.045770138877603	0.00807350727528221
