gene	log2fc	pval	tissue
ADAMTS9-AS2	0.260781848515942	8.05537824557392e-06	PHG
ADAMTSL1	-0.449811631365632	6.68213358733843e-09	PHG
ADAMTSL2	-0.187578075709275	0.0275949254774036	TCX
ADAMTSL3	0.676440387554994	9.27726571916633e-07	TCX
ADAMTSL4	-0.364149046494204	0.0029601666729777	ACC
ADAMTSL4-AS1	0.219511276684204	0.0449710799255099	PHG
ADAMTSL4-AS2	-0.168150107106814	0.0454738681285036	DLPFC
ADAMTSL5	0.416779828604247	6.12010158890708e-05	TCX
ADAP1	-0.11853832281674	0.0419920805916666	PHG
ADAP2	0.380034225448985	1.29397418373208e-06	PHG
ADAR	0.110457296443085	6.20001415378985e-06	PHG
ADARB1	-0.0995414781107584	0.142075159849373	TCX
ADARB2	0.383586838597331	1.63182934928757e-07	PHG
ADARB2-AS1	0.481174440001642	0.0432624115339104	PCC
ADAT1	-0.204406397021025	0.0001400212754174	TCX
ADAT2	-0.430567908249367	2.28961255910573e-08	TCX
ADAT3	0.390985319818648	0.0008314832651356	PHG
ADCK1	-0.252458297895872	0.0010257061175787	TCX
ADCK2	-0.133280066713235	0.004660664705779	PHG
ADCK5	-0.135037594779474	0.0069029367201269	PHG
ADCY1	-0.451868893547807	8.847646042255482e-09	TCX
ADCY10	0.423345860942023	0.0376720335897904	TCX
ADCY10P1	0.371009426780831	1.23182136393198e-08	PHG
ADCY2	0.371359497413547	0.0002421846230796	TCX
ADCY3	0.114973258839129	0.022624923963499	FP
ADCY4	0.447751455391406	0.0001490957561966	PHG
ADCY5	0.185244440615344	0.0012651459557011	PCC
ADCY6	-0.101817892503283	0.029516799220289	TCX
ADCY7	0.292484196023223	5.79335998932442e-05	PHG
ADCY8	0.320782008059619	1.01722554698151e-05	TCX
ADCY9	0.162825803855753	0.0039301720020959	TCX
ADCYAP1	-1.16323607115996	1.56639708968029e-16	TCX
ADCYAP1R1	0.518212454783562	1.38809727534943e-13	PHG
ADD1	0.113047812800767	0.0010813796719173	PHG
ADD2	-0.414460054829966	1.11644795722542e-07	PHG
ADD3	0.394123970332606	1.18006385740789e-08	PHG
ADD3-AS1	0.123162926103757	0.071704476338606	PHG
ADGRA1	-0.322668624235782	1.48047242958767e-06	PHG
ADGRA1-AS1	-0.423517610260014	0.0004967288787585	TCX
ADGRA2	0.290988968836332	6.91824424422298e-05	TCX
ADGRA3	0.590968204856066	5.03942803945399e-09	TCX
ADGRA3P1	0.186450513337476	0.131937599923251	TCX
ADGRB1	-0.227183707307156	0.0029229473764861	PHG
ADGRB2	-0.218191725651939	0.0020216897280647	PHG
ADGRB3	-0.269508638786189	1.43457149188621e-14	PHG
ADGRB3-DT	-0.484612763757374	4.52493216003818e-06	TCX
ADGRD1	0.270832170213638	0.0021581912169369	PHG
ADGRD2	-0.0880446242706103	0.781215483528113	TCX
ADGRE2	0.365672885513534	0.003738160738063	PHG
ADGRE4P	0.671848418058332	4.29555103222666e-05	PHG
ADGRE5	0.319828078361731	0.0001377500566027	PHG
ADGRF3	-0.414457316052628	0.0004900018588109	TCX
ADGRF4	-0.349785890816489	0.0639568245431365	TCX
ADGRF5	0.401117909713931	0.0001230020047447	TCX
ADGRF5P1	-0.527189366019727	0.0078340474555823	PHG
ADGRG1	0.418776180437337	0.0001307102316951	TCX
ADGRG2	-0.08118037574003	0.427708129145643	FP
ADGRG6	0.53401677681281	0.0004337207111439	TCX
ADGRL1	0.159891080146022	0.0261242049114707	TCX
ADGRL1-AS1	-0.12614461296399	0.126183992901553	TCX
ADGRL2	-0.309145353279598	9.00235639126496e-08	PHG
ADGRL3	-0.1905753849307	5.56465159388852e-10	PHG
ADGRL4	0.803242258616288	6.145052956462349e-11	TCX
ADGRV1	0.296487796597671	0.0260632921079533	TCX
ADH1B	1.20918162037283	6.447728668294949e-11	TCX
ADH5	0.10218307063577	0.0294733178919931	TCX
ADH5P3	-0.15234755931817	0.0303961184513436	PCC
ADHFE1	-0.222758303276173	0.0161725075874024	PCC
ADI1	0.130697189616068	0.0367824008777172	TCX
ADIPOR1	-0.0800307147718184	0.0003658767829904	ACC
ADIPOR2	0.492174888585225	1.18508369283185e-07	TCX
ADIRF	0.177927106038853	0.0912883531914486	PCC
ADIRF-AS1	0.241359328966235	0.014423418649376	PHG
ADISSP	-0.175307994833352	0.0027499216899461	ACC
ADK	-0.146633471547309	3.5324975699487e-05	PHG
ADM	0.430000373026232	0.0593778334555939	TCX
ADM5	-0.388701738765372	0.0035855952514014	PCC
ADNP	0.103363985627904	0.0054195996315248	TCX
ADNP-AS1	-0.14275504685286	0.165205549555177	IFG
ADNP2	-0.141143780778759	0.0121154047424007	TCX
ADO	-0.129649427233952	0.0047980778581849	TCX
ADORA1	0.166221779557672	9.78986507630946e-06	DLPFC
ADORA1-AS1	0.151313020503544	0.170905970718757	PHG
ADORA2A	0.586773104395181	0.0259619926507437	TCX
ADORA2A-AS1	0.587631878793704	0.0261223262751736	TCX
ADORA2B	0.473976826789831	4.32736746346066e-06	TCX
ADORA3	0.730828999617845	9.28496402816932e-09	PHG
ADPGK	-0.145015974665139	0.0053111560208614	TCX
ADPGK-AS1	-0.444263854458366	0.0001779433221572	FP
ADPRH	0.53188697169481	1.08599841154266e-08	PHG
ADPRHL1	-0.183869513689585	0.0312692921866036	PHG
ADPRM	-0.129294443801703	0.0453240986257724	STG
ADPRS	0.0693259554872547	0.121348966995254	IFG
ADRA1A	0.337179834026127	7.73113502037021e-10	PHG
ADRA1B	-0.474285759448652	8.44860015110802e-05	TCX
ADRA1D	-0.780242096354474	5.29173384797438e-08	TCX
ADRA2A	-0.173222991614732	0.0181575746240824	PHG
ADRA2B	0.613798852538793	9.28393572622763e-05	TCX
ADRA2C	0.464955876585463	0.0010598391015236	TCX
ADRB1	-0.301351471639965	2.20388756295263e-06	PHG
ADRB2	0.437281660603128	4.4287936452943605e-09	PHG
ADRM1	0.107285750174885	0.0318671261439708	TCX
ADSL	0.116813899280137	0.138812315721344	TCX
ADSS1	-0.334820229482085	9.38201991556236e-05	TCX
ADSS2	-0.269884089002828	4.98482883957914e-06	TCX
ADTRP	-0.830866419723617	3.43900210629032e-13	PHG
AEBP1	1.20586801472597	2.4348234384384504e-15	TCX
AEBP2	-0.0918409554789559	0.0037893080976299	PHG
AEN	0.419644664328228	1.28740807116576e-08	TCX
AFAP1	-0.0939748085631438	0.0078585468131206	ACC
AFAP1-AS1	-0.310646518665942	0.0116456729399384	TCX
AFAP1L1	0.793584878959023	2.37650042532852e-13	TCX
AFAP1L2	0.0919817416133597	0.322740006151369	TCX
AFDN	0.14165072954616	2.24686758040155e-08	PHG
AFF1	0.355730841988693	3.75491636881099e-13	PHG
AFF2	-0.249144503405184	2.53907227107525e-05	PHG
AFF3	-0.242728764722367	0.0008516621709582	TCX
AFF4	0.170748422543404	4.26444630003736e-12	PHG
AFG1L	-0.155529393928699	0.0024599947984047	TCX
AFG2A	0.12231843213846	0.0659274668029354	TCX
AFG2B	-0.0865416305126807	0.103489015609181	STG
AFG3L1P	0.0942919869833911	0.0629478222404141	PHG
AFG3L2	-0.291998245732427	5.09224973046176e-05	TCX
AFMID	0.208530158716038	0.000240103834184	PHG
AFTPH	-0.0772363165226375	0.0696669953988945	STG
AFTPH-DT	-0.266070984976479	0.0022227264150069	TCX
AGA	-0.142657240493471	0.15722919578382	TCX
AGA-DT	-0.311669121266481	0.0204799946441334	TCX
AGAP1	0.146081687137279	0.0073957091788176	FP
AGAP1-IT1	-0.177234578728988	0.119879150676724	STG
AGAP12P	-0.198654246851348	0.412017027205381	ACC
AGAP2	-0.232547234532277	0.0016949884533561	PHG
AGAP2-AS1	0.213786307631437	0.0225314221515694	PCC
AGAP3	0.24355042735351	0.0001068258106212	TCX
AGAP4	-0.115307626456095	0.148753381095455	TCX
AGAP6	-0.18606786985696	0.122462915985208	TCX
AGAP7P	-0.0697958713468869	0.889863096596735	TCX
AGAP9	-0.253933504060329	0.0436305338498749	FP
AGBL1	-0.842264401890976	8.07407671904012e-13	PHG
